type_var,year,typeTotal
Bottom otter trawls,2009,2.20987171471519
Bottom otter trawls,2010,2.39602801210477
Bottom otter trawls,2011,56.3571230181704
Bottom otter trawls,2012,55.9446424762567
Bottom otter trawls,2013,58.8893011444319
Bottom otter trawls,2014,67.0672645140801
Bottom otter trawls,2015,45.4321282271794
Bottom otter trawls,2016,30.5598318728683
Bottom otter trawls,2017,31.1691732975817
Bottom otter trawls,2018,3.66577851722222
Bottom seines,2011,0.529496446612985
Bottom seines,2012,0.550393836418638
Bottom seines,2013,0.77898206839887
Bottom seines,2014,0.940697722005773
Bottom seines,2015,1.84962135254273
Bottom seines,2016,1.9264380637037
Bottom seines,2017,2.17373172485039
Pelagic trawls and seines,2009,9.24782432842001
Pelagic trawls and seines,2010,7.03064943133333
Pelagic trawls and seines,2011,23.9082070801436
Pelagic trawls and seines,2012,28.3255785534469
Pelagic trawls and seines,2013,14.1550061422486
Pelagic trawls and seines,2014,16.0749699119712
Pelagic trawls and seines,2015,31.5375619496029
Pelagic trawls and seines,2016,24.2218870611505
Pelagic trawls and seines,2017,29.5223442588055
Pelagic trawls and seines,2018,22.2094383781111
Static gears,2009,0.0003864
Static gears,2010,0.001323
Static gears,2011,17.3965270456173
Static gears,2012,19.1835333999174
Static gears,2013,16.0038676311242
Static gears,2014,16.0196656661809
Static gears,2015,16.1763830599862
Static gears,2016,19.4922036238186
Static gears,2017,10.867318959306
